lemma	frequency	rank	band_id
él	3316194.0	1	1
el	2072523.0	2	1
tener	1849794.0	3	1
ser	1453554.0	4	1
que	1450571.0	5	1
de	1393764.0	6	1
echar	1373152.0	7	1
no	1275655.0	8	1
o	1049310.0	9	1
uno	980885.0	10	1
a	965735.0	11	1
yo	793339.0	12	1
estar	771138.0	13	1
e	707110.0	14	1
es	698024.0	15	1
y	688375.0	16	1
poner	680248.0	17	1
en	649914.0	18	1
tú	580122.0	19	1
un	560789.0	20	1
ir	525467.0	21	1
qué	478582.0	22	1
por	436757.0	23	1
me	409287.0	24	1
haber	380584.0	25	1
unir	374036.0	26	1
una	372435.0	27	1
ese	356291.0	28	1
este	343635.0	29	1
poder	341627.0	30	1
hacer	327741.0	31	1
con	298417.0	32	1
sí	279862.0	33	1
saber	279470.0	34	1
mi	277798.0	35	1
parar	276162.0	36	1
para	271407.0	37	1
está	263506.0	38	1
querer	250943.0	39	1
bien	242158.0	40	1
su	238773.0	41	1
todo	229532.0	42	1
decir	227031.0	43	1
pero	223538.0	44	1
si	213897.0	45	1
eso	208732.0	46	1
ver	202359.0	47	1
tu	195097.0	48	1
mucho	191659.0	49	1
hacerse	189549.0	50	1
buen	172265.0	51	1
aquí	161206.0	52	1
del	155888.0	53	1
al	155226.0	54	1
como	149587.0	55	1
más	148567.0	56	1
esto	133815.0	57	1
creer	115106.0	58	1
algo	112620.0	59	1
deber	112536.0	60	1
pasar	111659.0	61	1
ya	110965.0	62	1
sé	110281.0	63	1
vamos	107551.0	64	1
estás	103005.0	65	1
así	102403.0	66	1
bueno	102211.0	67	1
sólo	102165.0	68	1
hay	98696.0	69	1
ahora	96985.0	70	1
cómo	96683.0	71	1
vez	96120.0	72	1
cuando	90151.0	73	1
nada	87221.0	74	1
sentir	85209.0	75	1
hablar	83689.0	76	1
gracia	82953.0	77	1
quiero	82097.0	78	1
gracias	81590.0	79	1
hola	81555.0	80	1
otro	81317.0	81	1
tanto	80149.0	82	1
quién	79142.0	83	1
soy	78187.0	84	1
crear	77888.0	85	1
hacerlas	76037.0	86	1
era	72979.0	87	1
dar	70383.0	88	1
porque	70048.0	89	1
cosa	69828.0	90	1
pensar	69472.0	91	1
esperar	68925.0	92	1
son	68287.0	93	1
todos	67948.0	94	1
eres	67341.0	95	1
día	61998.0	96	1
dejar	61845.0	97	1
necesitar	61690.0	98	1
trabajar	60566.0	99	1
venir	60177.0	100	1
casa	59292.0	101	1
dios	59206.0	102	1
nuestro	58579.0	103	1
hombre	58406.0	104	1
mirar	58175.0	105	1
voy	56991.0	106	1
alguno	56234.0	107	1
tiempo	56219.0	108	1
entonces	56115.0	109	1
dónde	55410.0	110	1
tan	54709.0	111	1
do	54606.0	112	1
dos	54606.0	113	1
verdad	54315.0	114	1
año	54250.0	115	1
mejor	53482.0	116	1
mí	53293.0	117	1
favor	53260.0	118	1
nunca	53141.0	119	1
sus	52721.0	120	1
puede	52489.0	121	1
parecer	52268.0	122	1
oír	50692.0	123	1
vida	49757.0	124	1
amigo	48782.0	125	1
gustar	48678.0	126	1
llamar	48581.0	127	1
he	47855.0	128	1
alguien	47526.0	129	1
volver	47383.0	130	1
sobre	47029.0	131	1
va	46697.0	132	1
noche	46209.0	133	1
también	45481.0	134	1
salir	44514.0	135	1
acuerdo	43831.0	136	1
señor	43246.0	137	1
mismo	43174.0	138	1
nuevo	43131.0	139	1
ahí	42761.0	140	1
sin	42467.0	141	1
padre	41019.0	142	1
años	40816.0	143	1
hasta	40491.0	144	1
ni	40321.0	145	1
llegar	40163.0	146	1
llevar	40123.0	147	1
siempre	39978.0	148	1
poco	39853.0	149	1
encontrar	39779.0	150	1
morir	39738.0	151	1
tomar	39513.0	152	1
solo	38997.0	153	1
antes	38490.0	154	1
seguro	38369.0	155	1
primero	38082.0	156	1
sea	37864.0	157	1
gente	37717.0	158	1
mira	37624.0	159	1
parece	37122.0	160	1
hijo	37099.0	161	1
entrar	36819.0	162	1
seguir	36725.0	163	1
trabajo	36353.0	164	1
otra	36060.0	165	1
tal	34979.0	166	1
hecho	34927.0	167	1
tipo	34485.0	168	1
problema	34379.0	169	1
suponer	34112.0	170	1
tratar	34010.0	171	1
mío	33688.0	172	1
claro	33424.0	173	1
nadie	33193.0	174	1
hora	33111.0	175	1
mamá	32739.0	176	1
vivir	31774.0	177	1
mujer	31430.0	178	1
papá	31372.0	179	1
lugar	30916.0	180	1
conocer	30386.0	181	1
dinero	30024.0	182	1
momento	29783.0	183	1
quedar	29020.0	184	1
entender	28701.0	185	1
espera	28571.0	186	1
después	28528.0	187	1
partir	27651.0	188	1
estado	27485.0	189	1
contar	27478.0	190	1
desde	27313.0	191	1
chico	27214.0	192	1
mañana	26921.0	193	1
acabar	26864.0	194	1
ayudar	26826.0	195	1
sabe	26636.0	196	1
madre	26516.0	197	1
allí	26419.0	198	1
luego	26292.0	199	1
fuera	26039.0	200	1
listo	25834.0	201	1
jugar	25584.0	202	1
perder	25541.0	203	1
menos	25345.0	204	1
buscar	25249.0	205	1
chica	25013.0	206	1
importar	24848.0	207	1
persona	24608.0	208	1
aún	24464.0	209	1
serio	24404.0	210	1
mundo	24370.0	211	1
parte	24360.0	212	1
buena	24266.0	213	1
escuchar	24181.0	214	1
tres	24142.0	215	1
hoy	24087.0	216	1
niño	23891.0	217	1
dice	23821.0	218	1
ninguno	23607.0	219	1
donde	23547.0	220	1
gran	23402.0	221	1
nombre	23381.0	222	1
preguntar	22680.0	223	1
mal	22612.0	224	1
muerto	22397.0	225	1
razón	22391.0	226	1
matar	22367.0	227	1
idea	22343.0	228	1
días	22020.0	229	1
mierda	21938.0	230	1
minuto	21603.0	231	1
quizá	21534.0	232	1
cuánto	21504.0	233	1
último	21403.0	234	1
mano	21352.0	235	1
realmente	21333.0	236	1
visto	21270.0	237	1
semana	21212.0	238	1
único	21163.0	239	1
han	21152.0	240	1
haver	21152.0	241	1
cierto	21148.0	242	1
importa	21048.0	243	1
viejo	20445.0	244	1
todas	20431.0	245	1
toda	20415.0	246	1
veces	20358.0	247	1
intentar	20094.0	248	1
tardar	20052.0	249	1
debe	20036.0	250	1
auto	19970.0	251	1
pedir	19955.0	252	1
maldito	19933.0	253	1
tarde	19797.0	254	1
malo	19735.0	255	1
suceder	19628.0	256	1
hacerser	19608.0	257	1
cuenta	19479.0	258	1
pequeño	19318.0	259	1
bajar	19272.0	260	1
familia	19192.0	261	1
hermano	19086.0	262	1
junto	18948.0	263	1
empezar	18833.0	264	1
formar	18822.0	265	1
cada	18632.0	266	1
cariño	18466.0	267	1
policía	18346.0	268	1
quien	18313.0	269	1
genial	18196.0	270	1
recordar	18161.0	271	1
usar	18153.0	272	1
segundo	17975.0	273	1
terminar	17802.0	274	1
loco	17687.0	275	1
demasiado	17543.0	276	1
lado	17518.0	277	1
amigos	17332.0	278	1
forma	17236.0	279	1
cuál	17008.0	280	1
cualquiera	17006.0	281	1
vaya	16975.0	282	1
amor	16595.0	283	1
grande	16472.0	284	1
entre	16449.0	285	1
ganar	16363.0	286	1
pasado	16162.0	287	1
van	16148.0	288	1
cambiar	15949.0	289	1
significar	15892.0	290	1
cabeza	15868.0	291	1
pregunta	15796.0	292	1
diablo	15648.0	293	1
puerta	15593.0	294	1
bajo	15508.0	295	1
llama	15009.0	296	1
adiós	14958.0	297	1
historia	14940.0	298	1
ocurrir	14914.0	299	1
preocupar	14860.0	300	1
vi	14845.0	301	1
oh	14824.0	302	1
amar	14815.0	303	1
todavía	14727.0	304	1
arma	14695.0	305	1
comer	14589.0	306	1
esposa	14484.0	307	1
feliz	14462.0	308	1
minutos	14397.0	309	1
llamado	14379.0	310	1
nueva	14337.0	311	1
barata	14280.0	312	1
caso	14166.0	313	1
cuidar	14161.0	314	1
pues	14130.0	315	1
rápido	14011.0	316	1
importante	14005.0	317	1
conseguir	13997.0	318	1
mientras	13980.0	319	1
quizás	13973.0	320	1
casi	13938.0	321	1
medio	13929.0	322	1
mes	13924.0	323	1
clase	13871.0	324	1
primera	13630.0	325	1
traer	13484.0	326	1
buenas	13456.0	327	1
ayuda	13401.0	328	1
toma	13380.0	329	1
camino	13257.0	330	1
hija	13243.0	331	1
realidad	13178.0	332	1
