lemma	paradigm_size
1	2
10	1
100	1
1000	1
17	1
2	1
20	1
3	1
4	1
5	1
6	1
7	1
8	1
9	1
_	1095
a	1
abachidze	1
abad	1
abadía	1
abajo	1
abalanzar	1
abanderado	1
abandonado	4
abandonar	14
abandono	2
abanicar	1
abanico	1
abanilla	1
abaratamiento	1
abaratar	1
abarcar	3
abaria	1
abarrotado	1
abastecer	4
abastecimiento	1
abatido	1
abatir	1
abb	1
abc	1
abdalá	1
abdel	1
abdelhamid	1
abdeljlak	1
abderramán	1
abdesalam	1
abdicar	1
abdola	1
abdomen	1
abductor	1
abdul	1
abdulá	1
abdurrahman	1
abdurramán	1
abe	1
abed	1
abeja	1
abejorro	1
abel	1
abelardo	1
abengoa	1
aberchan	1
aberri	1
abertzale	2
aberzale	1
abeto	2
abierta	1
abiertamente	2
abierto	4
abimael	1
abisal	1
abismar	1
abismo	1
abjurar	1
abnegadamente	1
abner	1
abogacía	1
abogada	1
abogado	2
abogados	1
abogar	6
abolición	1
abolido	1
abolir	1
abominable	1
abonado	2
abonar	5
abono	2
abordar	11
aborigen	2
aborrecer	1
aborto	1
abracadabra	1
abraham	1
abrasado	1
abrasivo	1
abrazado	1
abrazar	2
abrazo	1
abreu	1
abrevadero	2
abreviadamente	1
abreviar	1
abridor	1
abrigar	1
abrigo	1
abril	1
abrillantar	1
abrir	17
abroncar	1
abrumado	1
abrumador	2
abrumar	1
abrupto	3
absolutamente	1
absoluto	3
absolutorio	2
absolver	4
absorber	6
absorbido	1
absorción	1
absorto	1
abstención	2
abstener	6
abstinencia	1
abstracción	2
abstracto	1
absurdo	4
abtez	1
abuchear	1
abuela	2
abuelo	2
abul	1
abultado	1
abundancia	1
abundante	2
abundar	3
aburrahman	1
aburrido	2
aburrimiento	1
aburrir	1
abusar	5
abusivo	1
abuso	2
abú	1
abúlico	1
aca	1
acabado	3
acabar	20
acabó	1
academia	1
académico	3
acaecer	1
acaecido	3
acalambrado	1
acallar	2
acampado	1
acampar	2
acancionado	1
acaparador	1
acaparar	2
acapulco	1
acariciar	3
acarrear	2
acaso	1
acatamiento	1
acatar	5
acb	1
acceder	11
accesible	1
acceso	2
accesorio	2
accidentabilidad	1
accidentado	2
accidental	1
accidentalmente	1
accidentar	1
accidente	2
accionar	1
accionariado	1
accionista	2
acción	2
accor	1
accésit	1
ace	2
acea	1
acebeda	1
acebo	1
acechar	2
acecho	1
acedo	1
aceh	1
aceite	2
aceitoso	1
aceituna	2
aceleración	1
acelerado	2
acelerador	1
acelerar	5
acelerón	1
acento	2
acentuación	1
acentuado	2
acentuar	5
acepción	1
aceptable	2
aceptación	1
aceptado	3
aceptar	21
aceptor	4
acera	2
acerca	1
acercamiento	2
acercar	11
acero	1
acertadamente	1
acertado	2
acertar	4
acervo	1
acesa	1
acetileno	1
achacar	2
acherón	1
achicar	2
achuchón	1
achurra	1
achúcarro	1
aciago	1
acicate	1
acidez	1
acientífico	1
acierto	2
acioly	1
aclamado	1
aclamar	4
aclaración	1
aclarado	1
aclarar	11
acno	1
acnur	1
acoger	9
acogida	1
acometer	3
acometida	1
acometido	1
acomodado	1
acomodador	1
acomodar	1
acompañado	4
acompañamiento	1
acompañante	2
acompañar	14
acondicionado	1
acondicionar	1
aconsejable	1
aconsejar	4
acontecer	1
acontecido	1
acontecimiento	2
acopiar	1
acopio	1
acoplado	1
acoplar	2
acorazado	1
acordado	3
acordar	9
acorde	2
acordonar	1
acorralado	1
acorralamiento	1
acorralar	1
acortamiento	1
acortar	3
acosado	2
acosar	2
acoso	1
acostar	4
acostumbrado	3
acostumbrar	5
acotar	2
acp	1
acrecentado	1
acrecentar	1
acreditación	1
acreditado	2
acreditar	1
acreedor	2
acristalado	2
acrobacia	1
acrobático	1
acróbata	1
acta	2
actitud	2
activa	1
activación	1
activamente	1
activar	5
actividad	2
actividades	1
activista	2
activo	4
acto	2
actor	2
actors	1
actriz	2
actuaciones	1
actuación	2
actual	2
actualidad	1
actualización	1
actualizar	2
actualmente	1
actuar	19
acudir	11
acuerdo	2
acufeno	1
acumulación	1
acumulado	4
acumulador	1
acumular	9
acumulativo	2
acusación	2
acusado	4
acusador	2
acusar	13
acusatorio	1
acuático	2
acuífer	1
acuña	1
acuñado	1
acá	1
acólito	1
acústic	1
acústico	1
adalberto	1
adams	1
adaptación	2
adaptado	2
adaptar	8
adda	1
adecafeh	1
adecentar	1
adecuación	1
adecuadamente	1
adecuado	4
adecuar	3
adela	1
adelantado	2
adelantamiento	1
adelantar	11
adelante	1
adelanto	2
adele	1
adelgazamiento	1
adelgazar	1
adelshoffen	1
ademar	1
ademuz	1
además	1
adenc	1
adentrar	3
adentro	1
adepta	1
adepto	1
adeudado	1
adherido	2
adherir	4
adhesivo	1
adhesión	2
adicional	2
adicionalmente	1
adición	1
adicto	2
adiestrado	1
adiestramiento	1
adiestrar	2
adiposo	1
aditamento	1
aditivo	1
adivinanza	1
adivinar	4
adiós	1
adjaria	1
adjetivo	2
adjudicación	1
adjudicar	6
adjudicataria	1
adjudicatario	1
adjunta	1
adjuntar	1
adjunto	3
adli	1
administración	2
administrado	1
administrador	1
administrar	5
administrativo	4
admirable	2
admirablemente	1
admiración	2
admirador	2
admiradora	1
admirar	6
admisible	2
admisibles	1
admisión	1
admitido	1
admitir	16
admonitorio	1
adn	1
adobinve	1
adoctrinamiento	1
adolescencia	1
adolescente	2
adolf	1
adolfo	1
adonde	1
adopción	1
adoptado	4
adoptante	1
adoptar	14
adoptivo	3
adorado	1
adorar	2
adormecer	1
adormecido	1
adormilar	1
adornado	1
adornar	2
adorno	1
adosado	2
adquirido	3
adquirir	8
adquisición	2
adquisitivo	2
adriana	1
adriano	1
adriático	1
adscrito	2
adsl	1
aduana	1
aduanas	1
aduaneros	1
aducir	3
adueñarse	3
adulatorio	1
adulteración	1
adulterado	2
adulterio	1
adulto	4
adum	1
adumim	1
advance	1
advenedizo	2
adversaria	1
adversario	3
adversidad	2
adverso	3
advertencia	2
advertido	1
advertir	12
adyacente	1
adán	1
adánez	1
adónde	1
adúltero	1
aeb	1
aek	1
aena	1
aerodinámico	1
aeroespacial	1
aeroflot	1
aerogenerador	1
aerolínea	2
aerolíneas	1
aeronave	2
aeronavegación	1
aeronáutica	1
aeronáutico	4
aeroplano	1
aeroportuario	3
aeropuerto	2
aeropuertos	1
aerosol	1
aeródromo	1
aetinape	1
afammer	1
afanar	1
afanasyev	1
afapive	1
afear	2
afección	1
afectada	1
afectado	4
afectar	15
afectivo	2
afecto	1
afeitado	1
afeitar	1
aferrar	1
affaire	1
afganistán	1
afianzar	3
aficionado	2
afición	2
afilado	2
afiliación	1
afiliada	1
afiliado	2
afiliar	2
afinar	2
afincado	2
afinidad	1
